TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622896893000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896893000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896894000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896895000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896896000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896897000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896898000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896899000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896900000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896901000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896902000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896903000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896903000000000;20210605_1622896857;Eachine_TX805;5845;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896905000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896905000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896905000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896906000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896906000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896906000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896906000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896907000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896907000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896907000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896908000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896908000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896908000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896909000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896909000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896909000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
1622896910000000000;20210605_1622896857;Eachine_TX805;5845;200,0;23,01;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-200,0;-23,01
